Sr_No,Movie_Name,Movie_Year,Movie_Rating
191,Million Dollar Baby,2004,8.1
192,Persona,1966,8.1
193,Hachi: A Dog's Tale,2009,8.1
194,The Wizard of Oz,1939,8.1
195,The Best Years of Our Lives,1946,8.1
196,Boyhood,2014,8.1
197,Nausicaä of the Valley of the Wind,1984,8.1
198,Guardians of the Galaxy,2014,8.1
199,Gandhi,1982,8.1
200,The Avengers,2012,8.1
201,The Bourne Ultimatum,2007,8.1
202,Donnie Darko,2001,8.1
203,Dil Chahta Hai,2001,8.1
204,Shutter Island,2010,8.1
205,Strangers on a Train,1951,8.1
206,8½,1963,8.1
207,The Imitation Game,2014,8.1
208,Infernal Affairs,2002,8.1
209,Stalker,1979,8.0
210,Twelve Monkeys,1995,8.0
211,Jaws,1975,8.0
212,Before Sunrise,1995,8.0
213,High Noon,1952,8.0
214,The Terminator,1984,8.0
215,Groundhog Day,1993,8.0
216,Fanny and Alexander,1982,8.0
217,Lagaan: Once Upon a Time in India,2001,8.0
218,Harry Potter and the Deathly Hallows: Part 2,2011,8.0
219,Gangs of Wasseypur,2012,8.0
220,Ip Man,2008,8.0
221,The King's Speech,2010,8.0
222,Notorious,1946,8.0
223,Monsters, Inc.,2001,8.0
224,Rocky,1976,8.0
225,The Battle of Algiers,1966,8.0
226,Dog Day Afternoon,1975,8.0
227,Memories of Murder,2003,8.0
228,La Haine,1995,8.0
229,The Night of the Hunter,1955,8.0
230,X-Men: Days of Future Past,2014,8.0
231,Barry Lyndon,1975,8.0
232,The Truman Show,1998,8.0
233,A Fistful of Dollars,1964,8.0
234,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
235,Who's Afraid of Virginia Woolf?,1966,8.0
236,Castle in the Sky,1986,8.0
237,La Strada,1954,8.0
238,Jurassic Park,1993,8.0
239,The Help,2011,8.0
240,Roman Holiday,1953,8.0
241,The Big Sleep,1946,8.0
242,The Graduate,1967,8.0
243,Kingsman: The Secret Service,2014,8.0
244,Prisoners,2013,8.0
245,Papillon,1973,8.0
246,Beauty and the Beast,1991,8.0
247,The Hustler,1961,8.0
248,Le Samouraï,1967,8.0
249,Spring, Summer, Fall, Winter... and Spring,2003,8.0
250,La Dolce Vita,1960,8.0
